locus_tag	Control1	Control2	Control3	Treatment1	Treatment2	Treatment3
gene2448	2	3	2	2	2	5
gene2449	4	6	7	11	8	25
gene2450	2	3	3	4	6	8
gene2451	1	1	1	8	1	6
gene2452	1	2	2	0	1	4
gene2453	0	2	1	7	11	18
gene2454	1	3	2	2	4	8
gene2455	2	3	5	6	4	5
gene2456	1	2	4	3	4	9
gene2457	1	7	0	1	6	4
gene2458	7	6	4	10	2	13
gene2459	0	2	2	6	5	7
gene2460	3	3	2	4	7	8
gene2461	5	5	4	18	26	27
gene2462	35	74	48	64	82	128
gene2463	6	3	2	4	4	9
gene2464	1	3	4	8	14	10
gene2465	0	0	0	0	3	1
gene2466	4	6	3	6	3	13
gene2467	2	0	1	2	3	4
gene2468	2	2	3	12	5	6
gene2469	2	3	1	5	4	7
gene2470	3	0	1	2	0	1
gene2471	2	2	3	1	1	1
gene2472	1	3	1	1	0	4
gene2473	0	0	0	1	1	0
gene2474	0	0	0	1	0	1
gene2475	0	0	4	2	0	1
gene2476	1	1	2	2	2	4
gene2477	1	2	1	2	0	0
gene2478	2	0	2	3	1	5
gene2479	0	2	2	1	0	2
gene2480	1	2	3	7	5	14
gene2481	2	8	7	4	9	10
gene2482	5	6	4	9	14	16
gene2483	3	14	12	7	9	22
gene2484	3	5	7	9	5	21
gene2485	1	3	6	7	2	13
gene2486	1	4	1	2	0	4
gene2487	0	1	0	1	0	2
gene2488	2	0	0	0	2	3
gene2489	1	1	0	3	9	5
gene2490	2	0	0	3	1	0
gene2491	7	7	16	8	13	16
gene2492	3	5	5	3	4	10
gene2493	0	4	3	9	5	6
gene2494	5	7	10	19	8	27
gene2495	0	2	1	2	2	5
gene2496	0	2	1	2	0	1
gene2497	1	3	3	0	3	3
gene2498	0	1	0	0	0	0
gene2499	0	0	0	0	0	0
gene2500	2	2	1	4	2	7
gene2501	1	1	0	1	5	0
gene2502	2	2	3	4	4	11
gene2503	2	4	1	3	2	11
gene2504	5	5	9	5	2	11
gene2505	0	1	2	2	2	1
gene2506	0	1	2	4	2	2
gene2507	0	0	1	1	0	0
gene2508	0	0	0	1	0	1
gene2509	2	0	1	3	0	3
gene2510	1	0	2	2	3	2
gene2511	0	1	2	6	5	3
gene2512	2	3	2	3	0	3
gene2513	0	1	0	1	0	1
gene2514	0	1	1	1	1	1
gene2515	0	1	1	2	0	0
gene2516	0	0	1	2	0	0
gene2517	1	1	0	0	0	0
gene2518	1	0	0	0	1	1
gene2519	0	2	2	1	1	1
gene2520	3	3	2	2	2	12
gene2521	0	1	0	0	1	3
gene2522	1	0	2	0	1	1
gene2523	1	2	2	2	1	3
gene2524	2	4	3	7	7	9
gene2525	5	3	2	2	4	5
gene2526	4	7	5	9	15	17
gene2527	6	13	7	14	16	33
gene2528	7	24	15	21	12	42
gene2529	4	5	2	9	1	9
gene2530	0	3	5	2	6	5
gene2531	2	2	2	4	7	12
gene2532	5	14	9	17	11	24
gene2533	8	9	14	17	26	32
gene2534	0	2	1	4	7	3
gene2535	1	2	2	2	5	5
gene2536	2	5	3	2	5	7
gene2537	2	4	5	6	3	10
gene2538	0	0	0	0	0	0
gene2539	0	1	1	3	4	2
gene2540	5	11	10	12	18	10
gene2541	1	11	10	21	26	21
gene2542	1	14	11	19	26	25
gene2543	4	8	5	13	19	24
gene2544	3	10	4	4	4	7
gene2545	6	10	10	14	12	11
gene2546	1	2	3	6	0	8
gene2547	3	2	2	5	1	4
gene2548	0	4	7	7	1	10
gene2549	4	4	5	5	7	19
gene2550	3	7	2	7	2	10
gene2551	1	7	6	3	4	7
gene2552	4	5	7	9	2	10
gene2553	2	6	6	6	3	9
gene2554	0	1	2	0	0	1
gene2555	3	6	1	6	3	10
gene2556	3	5	4	4	4	7
gene2557	2	5	4	6	2	6
gene2558	5	4	5	10	8	13
gene2559	4	7	10	25	6	18
gene2560	3	11	7	14	9	20
gene2561	19	44	35	50	23	87
gene2562	21	45	33	38	24	85
gene2563	2	5	5	7	4	11
gene2564	0	2	3	5	1	5
gene2565	0	4	2	2	0	6
gene2566	1	6	3	3	7	5
gene2567	9	19	11	18	7	30
gene2568	5	3	7	5	4	15
gene2569	2	5	3	7	5	13
gene2570	0	0	2	5	0	2
gene2571	8	9	12	15	4	28
gene2572	7	18	9	23	7	16
gene2573	4	11	11	5	8	11
gene2574	1	3	1	5	0	7
gene2575	9	19	11	11	14	17
gene2576	1	3	1	2	2	8
gene2577	0	1	0	0	1	3
gene2578	1	0	0	1	1	1
gene2579	0	4	5	2	5	11
gene2580	2	7	6	5	7	9
gene2581	5	16	13	10	7	21
gene2582	10	20	11	37	67	76
gene2583	10	16	18	26	31	42
gene2584	1	4	8	15	16	29
gene2585	0	3	9	11	19	25
gene2586	9	25	25	39	30	58
gene2587	3	9	2	3	5	6
gene2588	1	5	0	0	4	3
gene2589	0	1	0	0	0	2
gene2590	4	1	3	6	0	6
gene2591	1	6	6	5	5	6
gene2592	4	12	14	6	5	18
gene2593	0	2	0	2	0	1
gene2594	2	2	3	2	2	5
gene2595	0	0	4	2	3	5
gene2596	0	1	1	3	0	2
gene2597	1	2	3	0	1	1
gene2598	1	0	0	0	2	0
gene2599	0	3	4	1	1	0
gene2600	3	2	0	0	3	4
gene2601	1	1	3	3	2	0
gene2602	0	4	2	0	1	2
gene2603	3	4	4	7	8	13
gene2604	45	60	65	49	40	108
gene2605	2	2	1	2	1	1
gene2606	0	1	1	1	2	8
gene2607	0	0	0	2	3	3
gene2608	2	3	0	0	1	1
gene2609	2	5	4	6	3	5
gene2610	1	6	8	3	7	13
gene2611	6	10	13	22	23	28
gene2612	11	16	12	23	34	50
gene2613	2	7	14	20	28	41
gene2614	4	3	8	11	15	30
gene2615	25	30	29	73	81	107
gene2616	16	26	31	15	37	54
gene2617	4	2	4	6	3	11
gene2618	8	7	9	7	2	11
gene2619	22	32	45	132	256	267
gene2620	54	109	79	95	100	186
gene2621	15	34	25	38	41	57
gene2622	2	8	13	9	5	26
gene2623	83	216	193	122	174	248
gene2624	24	61	52	65	88	126
gene2625	1	2	0	2	2	2
gene2626	6	15	14	26	31	30
gene2627	3	3	2	8	7	7
gene2628	1	5	5	1	2	9
gene2629	17	24	34	30	49	63
gene2630	10	15	16	19	19	22
gene2631	3	7	5	4	10	14
gene2632	3	9	3	4	7	5
gene2633	3	7	6	10	6	5
gene2634	21	31	40	26	28	50
gene2635	7	16	8	5	4	13
gene2636	0	1	0	1	1	0
gene2637	6	11	13	45	67	89
gene2638	20	17	19	35	58	64
gene2639	9	21	27	17	39	41
gene2640	2	11	10	4	7	14
gene2641	12	27	21	23	26	38
gene2642	18	43	36	54	60	86
gene2643	14	17	15	16	19	48
gene2644	5	13	11	7	3	18
gene2645	5	8	1	10	12	11
gene2646	1	5	4	8	2	10
gene2647	13	22	15	34	42	63
gene2648	6	13	12	18	25	42
gene2649	8	12	8	21	25	39
gene2650	1	1	2	3	0	6
gene2651	4	16	11	18	12	36
gene2652	9	19	19	23	23	54
gene2653	6	11	19	31	40	34
gene2654	17	56	36	47	24	102
gene2655	1	0	1	6	3	6
gene2656	9	19	12	67	24	84
gene2657	11	17	17	51	20	99
gene2658	14	25	19	84	23	113
gene2659	27	30	39	95	41	160
gene2660	1	3	3	7	6	7
gene2661	2	2	0	3	6	10
gene2662	0	5	1	0	3	3
gene2663	0	0	0	0	0	1
gene2664	1	6	3	1	1	3
gene2665	2	6	4	2	2	9
gene2666	3	5	1	4	1	8
gene2667	5	19	15	54	116	141
gene2668	2	1	1	0	5	5
gene2669	0	1	0	2	1	1
gene2670	1	4	1	3	2	3
gene2671	1	1	2	3	1	5
gene2672	0	1	0	2	0	1
gene2673	1	0	1	2	0	4
gene2674	0	0	0	0	0	0
gene2675	0	0	0	0	0	1
gene2676	1	0	0	0	0	1
gene2677	1	4	1	2	1	2
gene2678	1	1	2	2	3	1
gene2679	5	6	2	3	3	7
gene2680	0	1	0	4	1	2
gene2681	2	2	1	2	0	1
gene2682	3	3	4	4	5	4
gene2683	2	5	3	5	4	6
gene2684	7	7	13	12	9	23
gene2685	8	26	21	24	12	19
gene2686	1	6	6	2	5	10
gene2687	3	5	2	8	11	12
gene2688	1	3	5	4	4	7
gene2689	0	2	1	0	1	1
gene2690	0	0	0	0	0	0
gene2691	2	0	4	3	4	8
gene2692	2	1	4	6	5	14
gene2693	0	1	2	3	1	1
gene2694	0	2	1	1	0	1
gene2695	2	6	5	5	6	16
gene2696	1	3	0	0	3	6
gene2697	0	0	0	0	0	0
gene2698	0	1	1	1	1	2
gene2699	2	2	2	3	1	4
gene2700	2	4	3	2	1	8
gene2701	4	4	2	6	3	13
gene2702	1	4	0	0	2	8
gene2703	0	3	1	4	0	0
gene2704	0	5	0	7	3	5
gene2705	4	7	15	7	0	15
gene2706	2	5	4	5	4	4
gene2707	6	19	7	11	14	23
gene2708	0	2	2	2	1	1
gene2709	7	12	15	10	11	16
gene2710	1	1	2	0	2	3
gene2711	0	1	1	3	1	6
gene2712	1	4	3	2	2	3
gene2713	3	1	2	7	0	5
gene2714	2	2	3	5	3	6
gene2715	0	0	0	1	2	4
gene2716	1	3	2	3	4	10
gene2717	4	4	6	6	3	9
gene2718	2	4	1	2	4	7
gene2719	0	0	2	1	2	9
gene2720	3	4	6	3	8	12
gene2721	0	2	0	2	1	5
gene2722	1	0	0	0	0	3
gene2723	0	1	0	2	2	3
gene2724	0	1	0	0	0	0
gene2725	3	6	8	5	8	11
gene2726	0	2	2	0	2	4
gene2727	3	5	2	3	2	4
gene2728	4	6	6	9	6	12
gene2729	2	3	1	1	1	5
gene2730	5	13	11	15	36	49
gene2731	2	3	7	6	7	13
gene2732	23	40	41	61	94	115
gene2733	3	5	10	10	15	18
gene2734	6	15	15	24	34	53
gene2735	11	38	23	42	78	91
gene2736	6	7	6	16	33	25
gene2737	9	22	15	26	29	47
gene2738	25	42	67	87	140	149
gene2739	14	31	29	45	51	78
gene2740	16	32	20	16	33	44
gene2741	150	240	269	693	1001	1170
gene2742	94	179	204	441	682	812
gene2743	176	343	378	724	1019	1408
gene2744	50	99	83	103	155	208
gene2745	1	5	3	8	16	9
gene2746	4	5	8	8	3	8
gene2747	9	14	16	18	10	15
gene2748	4	5	7	7	6	14
gene2749	0	2	6	3	3	7
gene2750	2	2	0	6	1	4
gene2751	4	9	5	15	8	21
gene2752	0	0	0	4	3	4
gene2753	0	0	1	1	1	0
gene2754	1	0	3	4	1	10
gene2755	13	17	13	22	18	48
gene2756	5	9	13	14	28	30
gene2757	0	1	0	0	0	1
gene2758	2	2	1	2	1	6
gene2759	0	1	2	2	1	3
gene2760	32	68	40	99	118	178
gene2761	0	2	2	3	2	4
gene2762	2	0	2	0	3	2
gene2763	1	4	4	1	0	0
gene2764	1	6	19	8	7	22
gene2765	8	12	5	14	8	35
gene2766	1	5	5	1	2	5
gene2767	1	6	4	3	1	7
gene2768	1	3	3	5	3	5
gene2769	1	5	2	3	5	11
gene2770	9	13	10	11	14	17
gene2771	1	6	6	8	8	10
gene2772	0	4	2	1	11	14
gene2773	1	3	1	3	4	3
gene2774	0	2	3	2	1	4
gene2775	1	4	3	5	14	9
gene2776	9	19	12	18	15	40
gene2777	15	18	9	9	4	36
gene2778	4	10	7	9	7	17
gene2779	12	18	10	32	11	28
gene2780	5	7	8	7	14	13
gene2781	3	4	2	4	5	11
gene2782	2	0	0	0	0	1
gene2783	1	5	0	3	2	1
gene2784	1	0	0	1	1	4
gene2785	0	0	0	0	0	0
gene2786	0	2	2	2	0	0
gene2787	0	4	2	2	0	8
gene2788	2	13	13	8	2	22
gene2789	1	0	0	1	0	5
gene2790	1	2	3	1	0	3
gene2791	0	2	0	0	1	1
gene2792	0	0	1	1	2	0
gene2793	0	6	5	4	6	9
gene2794	5	6	5	5	9	7
gene2795	2	11	2	5	10	16
gene2796	6	7	11	17	19	32
gene2797	8	5	8	14	17	15
gene2798	9	46	39	69	83	114
gene2799	1	3	5	1	4	10
gene2800	13	19	17	24	54	58
gene2801	0	4	2	4	7	8
gene2802	4	6	6	1	8	16
gene2803	0	1	7	2	0	3
gene2804	1	4	3	2	0	1
gene2805	5	7	7	11	8	17
gene2806	4	3	7	7	9	8
gene2807	0	3	2	0	0	1
gene2808	1	1	2	5	0	0
gene2809	4	7	2	3	4	4
gene2810	3	3	5	0	3	8
gene2811	1	5	2	5	14	12
gene2812	4	8	5	7	18	13
gene2813	7	13	10	2	15	15
gene2814	1	2	3	5	5	6
gene2815	16	46	29	36	19	60
gene2816	1	5	2	1	7	4
gene2817	5	6	9	8	9	14
gene2818	1	11	8	6	7	9
gene2819	39	66	65	716	755	729
gene2820	3	1	5	11	7	8
gene2821	1	7	6	3	15	19
gene2822	3	4	1	3	2	7
gene2823	5	8	3	6	7	14
gene2824	4	12	4	17	16	23
gene2825	6	3	3	7	0	11
gene2826	11	7	11	4	6	20
gene2827	6	1	1	4	8	8
gene2828	9	11	9	13	23	24
gene2829	0	1	2	0	2	3
gene2830	40	40	51	39	41	93
gene2831	2	9	4	5	6	10
gene2832	4	4	5	8	6	11
gene2833	0	0	0	2	0	2
gene2834	1	7	5	5	4	2
gene2835	1	5	2	2	0	5
gene2836	1	0	0	2	1	1
gene2837	1	0	2	0	0	1
gene2838	1	3	2	1	2	2
gene2839	1	2	2	1	2	0
gene2840	20	30	47	53	40	44
gene2841	1	1	5	3	2	6
gene2842	1	6	4	5	6	9
gene2843	7	4	10	9	3	7
gene2844	3	2	2	0	2	2
gene2845	0	0	0	1	0	0
gene2846	2	1	1	0	0	6
gene2847	1	1	0	1	0	3
gene2848	0	0	2	1	0	2
gene2849	1	2	3	4	4	2
gene2850	4	11	7	7	9	14
gene2851	43	66	74	188	389	448
gene2852	0	3	3	7	9	11
gene2853	163	152	210	1992	3844	3378
gene2854	11	22	32	34	43	62
gene2855	1	6	5	2	3	10
gene2856	4	11	9	11	9	12
gene2857	2	2	4	1	5	7
gene2858	0	8	5	3	3	12
gene2859	7	5	5	4	8	18
gene2860	8	6	17	18	25	25
gene2861	1	0	1	1	0	2
gene2862	1	1	4	2	0	8
gene2863	0	0	2	1	1	2
gene2864	1	1	3	6	10	7
gene2865	12	17	12	25	20	46
gene2866	2	2	2	4	5	3
gene2867	12	32	14	29	13	44
gene2868	8	7	1	4	2	3
gene2869	3	1	7	4	2	8
gene2870	2	4	10	5	4	15
gene2871	0	4	5	7	2	17
gene2872	0	1	1	2	2	0
gene2873	2	4	1	4	6	6
gene2874	0	2	1	2	2	4
gene2875	1	1	1	1	7	8
gene2876	2	10	3	7	5	13
gene2877	1	4	3	3	8	7
gene2878	2	5	2	3	1	3
gene2879	0	1	2	2	3	2
gene2880	1	1	0	2	0	2
gene2881	0	2	1	0	1	2
gene2882	1	3	2	10	2	8
gene2883	3	15	7	14	8	11
gene2884	4	5	4	10	14	15
gene2885	2	4	5	3	8	8
gene2886	0	3	1	5	3	8
gene2887	2	2	2	1	0	3
gene2888	5	1	3	3	0	6
gene2889	1	4	1	1	1	6
gene2890	0	0	0	0	0	2
gene2891	0	2	0	6	2	4
gene2892	1	2	1	0	0	6
gene2893	3	7	8	10	8	9
gene2894	4	5	2	4	4	14
gene2895	0	5	2	5	2	15
gene2896	12	13	13	10	3	24
gene2897	13	14	18	8	15	31
gene2898	0	1	0	1	0	0
gene2899	0	1	3	2	1	5
gene2900	5	7	4	11	11	23
gene2901	3	14	9	19	29	30
gene2902	4	7	1	4	8	16
gene2903	2	2	1	7	8	11
gene2904	0	0	0	5	7	6
gene2905	0	1	0	2	6	1
gene2906	1	3	4	9	6	11
gene2907	2	1	1	3	4	9
gene2908	2	3	2	3	1	5
gene2909	0	1	0	1	0	1
gene2910	1	0	0	2	3	6
gene2911	9	6	6	7	8	14
gene2912	1	1	0	1	1	1
gene2913	1	1	0	4	4	3
gene2914	0	2	0	1	0	4
gene2915	0	2	5	1	1	8
gene2916	0	1	0	0	0	3
gene2917	0	2	2	3	2	2
gene2918	5	10	8	5	5	23
gene2919	1	2	3	4	1	8
gene2920	11	25	16	24	6	51
gene2921	0	1	1	4	5	3
gene2922	2	2	1	2	1	2
gene2923	0	2	1	1	0	2
gene2924	1	0	0	1	0	2
gene2925	1	1	1	1	2	3
gene2926	0	1	0	2	3	5
gene2927	1	2	3	5	3	4
gene2928	2	3	0	4	4	4
gene2929	0	2	2	1	4	4
gene2930	1	5	5	10	3	12
gene2931	5	3	4	3	8	13
gene2932	1	2	0	1	1	2
gene2933	0	0	0	0	1	1
gene2934	0	1	1	0	0	2
gene2935	0	0	0	0	2	1
gene2936	0	0	0	0	0	0
gene2937	2	1	2	5	3	4
gene2938	4	5	4	6	4	10
gene2939	3	7	3	6	8	14
gene2940	1	2	3	1	2	3
gene2941	1	1	1	3	1	3
gene2942	1	5	2	3	8	14
gene2943	2	3	3	1	5	5
gene2944	6	8	17	13	22	25
gene2945	8	10	17	19	17	33
gene2946	7	14	11	21	18	24
gene2947	1	1	2	0	0	2
gene2948	1	1	1	2	2	4
gene2949	1	5	3	7	4	13
gene2950	23	47	32	93	136	139
gene2951	55	136	126	101	108	206
gene2952	43	117	87	73	77	136
gene2953	40	81	65	61	74	105
gene2954	3	3	2	5	0	8
gene2955	4	5	3	2	6	9
gene2956	3	7	11	6	12	20
gene2957	10	26	20	18	21	28
gene2958	1	14	12	9	10	19
gene2959	8	5	5	24	65	56
gene2960	2	4	6	7	17	27
gene2961	2	5	5	11	18	17
gene2962	0	0	1	3	4	3
gene2963	7	10	9	18	8	18
gene2964	1	7	4	15	13	27
gene2965	9	26	12	64	82	85
gene2966	108	188	230	1503	2719	2934
gene2967	13	33	27	104	145	154
gene2968	8	25	28	80	98	111
gene2969	5	9	7	34	33	37
gene2970	28	55	45	175	258	301
gene2971	38	86	79	217	257	288
gene2972	1	3	2	3	3	9
gene2973	7	14	16	35	36	38
gene2974	7	6	5	11	19	14
gene2975	7	5	19	26	28	41
gene2976	40	68	64	85	76	135
gene2977	5	3	10	15	20	21
gene2978	1	1	5	9	11	8
gene2979	6	8	1	7	3	19
gene2980	2	2	3	3	6	8
gene2981	4	4	6	22	17	24
gene2982	4	1	3	4	10	19
gene2983	8	4	8	12	12	13
gene2984	4	0	0	1	5	8
gene2985	2	3	3	7	4	16
gene2986	8	3	10	13	25	33
gene2987	1	2	5	5	8	17
gene2988	5	16	15	31	15	39
gene2989	2	3	1	8	7	10
gene2990	0	6	3	11	4	14
gene2991	15	27	21	40	56	60
gene2992	1	0	7	2	7	7
gene2993	3	10	10	14	19	32
gene2994	6	15	20	25	25	23
gene2995	4	10	13	11	14	27
gene2996	4	10	7	14	24	17
gene2997	4	9	6	14	23	18
gene2998	9	18	14	22	35	45
gene2999	18	27	38	26	57	54
gene3000	7	16	17	18	23	33
gene3001	67	113	120	185	260	354
gene3002	12	22	22	25	26	45
gene3003	1	5	3	3	3	11
gene3004	4	6	5	7	9	15
gene3005	5	11	4	12	19	19
gene3006	35	46	48	51	49	65
gene3007	30	45	43	44	51	74
gene3008	11	16	17	16	21	26
gene3009	4	5	16	20	26	34
gene3010	2	7	7	6	20	17
gene3011	23	50	51	45	74	102
gene3012	1	4	6	4	8	7
gene3013	20	83	67	44	48	76
gene3014	70	166	142	85	65	151
gene3015	2	7	4	5	8	11
gene3016	1	2	1	2	3	6
gene3017	2	3	6	2	5	3
gene3018	2	6	1	4	3	0
gene3019	11	19	27	23	44	47
gene3020	3	8	9	7	16	20
gene3021	1	3	2	4	3	10
gene3022	3	5	6	7	7	10
gene3023	2	8	6	8	1	18
gene3024	2	0	4	1	0	2
gene3025	2	0	1	1	0	4
gene3026	2	6	3	2	3	5
gene3027	3	2	4	11	2	11
gene3028	1	6	4	6	5	20
gene3029	0	5	9	4	9	8
gene3030	1	0	0	1	1	7
gene3031	28	60	37	85	89	198
gene3032	1	4	6	12	11	8
gene3033	0	1	3	2	10	13
gene3034	1	7	7	2	6	13
gene3035	1	0	0	0	1	4
gene3036	0	1	3	1	0	4
gene3037	1	2	1	1	1	5
gene3038	2	8	9	11	10	18
gene3039	1	2	1	0	1	2
gene3040	4	13	9	9	3	30
gene3041	4	2	4	2	4	5
gene3042	0	0	2	1	1	1
gene3043	3	3	6	4	13	7
gene3044	0	1	3	3	2	3
gene3045	0	0	0	0	0	1
gene3046	1	8	6	26	33	37
gene3047	4	4	7	9	6	22
gene3048	14	19	17	40	28	49
gene3049	133	223	204	101	112	155
gene3050	18	12	10	24	40	49
gene3051	0	3	1	4	1	4
gene3052	0	1	1	5	6	8
gene3053	2	3	2	1	3	11
gene3054	3	5	2	8	2	7
gene3055	1	12	4	2	2	5
gene3056	0	1	2	1	7	9
gene3057	0	1	1	1	1	2
gene3058	1	6	3	10	5	8
gene3059	1	1	2	6	8	10
gene3060	0	2	1	4	3	2
gene3061	0	3	2	12	7	1
gene3062	2	0	0	1	2	1
gene3063	1	2	4	9	6	16
gene3064	5	3	5	17	16	26
gene3065	0	0	0	1	1	2
gene3066	2	0	0	0	2	6
gene3067	0	1	1	0	5	1
gene3068	64	129	119	73	74	136
gene3069	5	7	5	6	5	7
gene3070	4	14	7	12	8	16
gene3071	1	5	1	1	3	12
gene3072	0	0	0	1	0	0
gene3073	0	1	0	3	4	6
gene3074	3	5	2	8	3	10
gene3075	0	0	0	1	4	9
gene3076	1	1	5	3	4	13
gene3077	0	1	1	3	2	4
gene3078	1	3	2	3	2	5
gene3079	4	5	9	7	3	17
gene3080	2	2	5	2	6	3
gene3081	1	4	1	3	1	9
gene3082	6	6	5	9	13	16
gene3083	8	22	27	25	29	41
gene3084	1	8	2	5	8	18
gene3085	2	5	3	8	4	4
gene3086	2	2	3	6	11	7
gene3087	1	1	3	3	6	16
gene3088	2	6	2	5	4	7
gene3089	2	0	1	1	0	7
gene3090	0	4	2	2	0	4
gene3091	0	5	6	4	4	7
gene3092	3	8	6	8	5	10
gene3093	2	4	6	5	6	17
gene3094	10	7	5	9	9	12
gene3095	1	2	1	1	2	1
gene3096	1	0	0	3	2	8
gene3097	1	3	1	6	2	1
gene3098	1	1	0	1	0	2
gene3099	0	1	1	1	0	1
gene3100	2	4	0	0	0	4
gene3101	1	3	1	4	4	3
gene3102	2	5	1	4	2	3
gene3103	6	14	14	8	6	12
gene3104	5	11	8	6	6	22
gene3105	3	13	7	7	11	21
gene3106	4	7	8	12	23	21
gene3107	6	23	22	24	27	45
gene3108	12	27	31	44	59	88
gene3109	2	5	9	22	16	21
gene3110	4	3	4	8	15	21
gene3111	16	17	19	66	66	81
gene3112	16	31	33	64	64	83
gene3113	8	8	9	25	29	35
gene3114	2	6	1	11	15	11
gene3115	31	55	41	71	86	112
gene3116	5	10	11	18	17	22
gene3117	3	10	9	26	31	41
gene3118	1	8	10	9	14	11
gene3119	2	0	0	0	1	2
gene3120	2	4	0	5	7	7
gene3121	7	6	3	6	6	10
gene3122	3	9	3	4	3	5
gene3123	2	4	1	2	2	3
gene3124	1	3	2	2	6	5
gene3125	1	0	0	2	0	6
gene3126	20	31	25	21	20	55
gene3127	2	3	2	2	0	6
gene3128	0	6	5	1	3	10
gene3129	8	9	6	7	13	25
gene3130	1	3	2	3	4	8
gene3131	6	5	5	2	6	12
gene3132	0	4	0	0	0	5
gene3133	1	1	3	3	1	7
gene3134	12	22	22	34	44	67
gene3135	1	2	0	0	3	5
gene3136	0	0	2	1	0	1
gene3137	5	4	5	7	5	4
gene3138	7	18	15	14	16	21
gene3139	17	37	28	75	95	107
gene3140	0	1	2	3	8	7
gene3141	26	55	38	57	75	113
gene3142	7	7	9	10	14	18
gene3143	1	0	2	3	6	13
gene3144	0	1	2	3	7	4
gene3145	6	9	5	23	22	44
gene3146	1	3	2	16	33	32
gene3147	7	4	6	55	59	76
gene3148	4	4	11	53	118	150
gene3149	3	14	8	148	279	322
gene3150	7	9	8	173	296	325
gene3151	2	3	7	99	140	164
gene3152	3	0	4	22	59	73
gene3153	2	10	6	59	87	90
gene3154	5	9	10	107	145	164
gene3155	15	29	20	113	194	214
gene3156	10	13	8	36	75	83
gene3157	4	6	13	55	83	99
gene3158	12	29	22	60	99	133
gene3159	47	80	91	158	159	261
gene3160	32	49	49	115	254	261
gene3161	13	19	23	27	32	39
gene3162	334	665	711	1621	2076	2551
gene3163	6	4	9	18	17	29
gene3165	4	12	22	25	31	38
gene3166	5	10	7	12	16	20
gene3167	13	23	19	27	37	40
gene3168	42	94	96	125	175	219
gene3169	1	7	7	11	6	20
gene3170	4	10	4	10	6	12
gene3171	5	9	1	6	8	18
gene3172	3	4	8	4	4	3
gene3173	3	4	5	5	4	14
gene3174	3	2	2	5	1	2
gene3175	0	3	0	0	1	2
gene3176	1	5	4	1	1	6
gene3177	5	9	14	18	9	29
gene3178	4	1	5	3	5	8
gene3179	9	32	26	42	31	48
gene3180	2	3	3	1	1	4
gene3181	2	2	3	11	9	9
gene3182	0	3	1	1	3	5
gene3183	14	13	9	22	14	29
gene3184	4	7	3	8	8	11
gene3185	6	2	7	7	16	16
gene3186	5	21	11	5	14	11
gene3187	5	9	6	4	6	10
gene3188	2	2	6	3	2	8
gene3189	3	6	2	7	3	6
gene3190	20	51	49	54	30	51
gene3191	0	3	4	3	0	5
gene3192	0	3	2	6	2	12
gene3193	5	10	5	7	11	11
gene3194	7	15	14	14	9	13
gene3195	8	25	21	14	12	36
gene3196	0	4	2	3	3	9
gene3197	1	4	0	9	5	7
gene3198	1	4	4	4	3	11
gene3199	3	3	4	3	7	4
gene3200	9	4	5	11	6	16
gene3201	7	16	7	19	36	46
gene3202	4	2	1	7	4	15
gene3203	2	4	5	5	5	8
gene3204	5	3	4	3	3	9
gene3205	8	17	17	11	9	27
gene3206	2	1	2	1	2	12
gene3207	2	4	1	1	1	7
gene3208	0	1	3	2	4	12
gene3209	1	1	0	3	3	6
gene3210	2	5	7	13	10	16
gene3211	2	12	6	8	11	20
gene3212	0	2	3	6	1	8
gene3213	5	3	2	4	9	12
gene3214	0	3	4	2	9	10
gene3215	4	5	3	8	8	14
gene3216	5	1	3	0	2	3
gene3217	6	9	5	11	5	27
gene3218	1	0	0	1	1	1
gene3219	4	3	5	3	1	8
gene3220	3	3	3	4	3	9
gene3221	0	0	0	1	3	5
gene3222	3	4	1	6	1	4
gene3223	0	3	1	1	1	2
gene3224	3	6	4	3	5	7
gene3225	5	6	5	1	6	10
gene3226	3	4	1	2	2	7
gene3227	1	4	9	5	5	6
gene3228	2	7	9	15	12	11
gene3229	3	5	7	4	2	4
gene3230	3	6	11	5	6	14
gene3231	1	2	1	0	1	2
gene3232	5	2	3	2	2	3
gene3233	1	3	2	1	4	6
gene3234	9	17	15	9	11	18
gene3235	5	6	8	5	4	8
gene3236	2	4	3	8	5	11
gene3237	4	1	6	0	0	2
gene3238	8	12	17	5	12	20
gene3239	2	7	4	6	5	5
gene3240	1	4	5	4	6	7
gene3241	3	2	2	5	5	9
gene3242	5	9	8	11	12	11
gene3243	10	10	13	10	17	27
gene3244	28	42	48	61	100	113
gene3245	9	11	12	31	30	48
gene3246	2	2	2	4	6	5
gene3247	7	9	8	9	12	13
gene3248	1	6	3	2	2	4
gene3249	2	5	3	5	2	4
gene3250	17	31	25	15	8	33
gene3251	2	5	4	3	2	6
gene3252	1	2	3	5	1	3
gene3253	2	6	0	2	1	4
gene3254	6	7	3	2	2	8
gene3255	2	5	3	3	4	2
gene3256	2	8	6	9	11	9
gene3257	19	49	55	67	59	120
gene3258	5	17	4	11	4	17
gene3259	0	1	3	5	7	5
gene3260	2	3	5	10	2	10
gene3261	8	7	7	18	18	12
gene3262	7	20	20	34	56	73
gene3263	2	3	8	12	19	20
gene3264	2	0	0	2	2	9
gene3265	2	4	0	0	5	10
gene3266	97	141	156	576	1030	904
gene3267	6	21	14	28	21	39
gene3268	13	22	19	31	32	42
