locus_tag	Control1	Control2	Control3	Treatment1	Treatment2	Treatment3
gene0774	0	7	4	11	11	18
gene0775	3	5	11	10	11	16
gene0776	3	2	2	4	1	6
gene0777	0	2	0	3	1	4
gene0778	1	0	0	2	5	7
gene0779	15	34	43	29	32	69
gene0780	0	2	6	4	6	9
gene0781	0	5	9	4	5	1
gene0782	33	95	74	105	129	176
gene0783	7	23	23	49	68	66
gene0784	3	5	1	10	7	12
gene0785	1	0	0	3	1	1
gene0786	0	1	0	2	0	0
gene0787	2	1	2	6	3	6
gene0788	7	19	14	9	11	27
gene0789	4	10	7	24	38	47
gene0790	0	2	1	1	0	2
gene0791	1	5	2	0	1	3
gene0792	5	5	5	15	3	7
gene0793	1	5	5	6	1	8
gene0794	3	16	15	18	8	19
gene0795	7	11	20	12	12	16
gene0796	0	4	11	6	7	10
gene0797	5	5	3	5	3	7
gene0798	1	1	0	0	0	5
gene0799	5	4	7	9	9	11
gene0800	0	2	1	1	5	6
gene0801	3	4	4	11	6	14
gene0802	1	0	2	3	2	2
gene0803	2	1	1	3	3	4
gene0804	8	6	4	13	6	17
gene0805	32	41	48	96	81	143
gene0806	0	0	0	2	3	0
gene0807	197	308	277	82	141	143
gene0808	42	61	52	22	28	21
